dataset,Days,Meal_Hours,Meal_Counts,win(sec),TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel,TP: Individual-Model,TP: GroupModel,FP: Individual-Model,FP: GroupModel,FN: Individual-Model,FN: GroupModel
wenkanw,17,7,32,360,0.969,0.625,1.226,0.3,31,20,38,6,1,12
adam,14,3,26,360,0.962,0.923,0.64,0.333,25,24,16,8,1,2
lawler,23,7,60,360,0.817,0.333,1.837,2.6,49,20,90,52,11,40
shaurya,13,9,38,360,0.921,0.789,1.943,0.833,35,30,68,25,3,8
tianyi,14,5,20,360,0.65,0.75,2.0,1.267,13,15,26,19,7,5
james,12,6,26,360,1.0,0.885,1.808,1.696,26,23,47,39,0,3
cameron,10,5,22,360,0.818,0.773,2.0,3.647,18,17,36,62,4,5
zeyu,12,10,22,360,0.909,0.909,1.8,0.65,20,20,36,13,2,2
mohammad,6,4,8,360,0.625,0.875,6.6,3.857,5,7,33,27,3,1
average performance,-,-,-,-,0.852,0.762,2.206,1.687,24.667,19.556,43.333,27.889,3.556,8.667
