dataset,Days,Meal_Hours,Meal_Counts,win(sec),TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel,TP: Individual-Model,TP: GroupModel,FP: Individual-Model,FP: GroupModel,FN: Individual-Model,FN: GroupModel
wenkanw,17,7,32,360,0.969,0.594,0.484,0.368,31,19,15,7,1,13
adam,14,3,26,360,0.923,0.923,0.292,0.375,24,24,7,9,2,2
lawler,23,7,60,360,0.817,0.333,1.735,2.8,49,20,85,56,11,40
shaurya,13,9,38,360,0.816,0.763,1.774,0.897,31,29,55,26,7,9
tianyi,14,5,20,360,0.8,0.75,2.562,1.4,16,15,41,21,4,5
james,12,6,26,360,0.923,0.885,1.458,1.739,24,23,35,40,2,3
cameron,10,5,22,360,0.818,0.773,1.833,3.882,18,17,33,66,4,5
zeyu,12,10,22,360,0.909,0.864,0.65,0.789,20,19,13,15,2,3
mohammad,6,4,8,360,0.625,0.75,6.6,4.667,5,6,33,28,3,2
average performance,-,-,-,-,0.844,0.737,1.932,1.88,24.222,19.111,35.222,29.778,4.0,9.111
