dataset,Days,Meal_Hours,Meal_Counts,win(sec),TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel,TP: Individual-Model,TP: GroupModel,FP: Individual-Model,FP: GroupModel,FN: Individual-Model,FN: GroupModel
wenkanw,17,7,32,360,0.969,0.625,0.484,0.3,31,20,15,6,1,12
adam,14,3,26,360,0.923,0.923,0.292,0.333,24,24,7,8,2,2
lawler,23,7,60,360,0.65,0.333,1.077,2.6,39,20,42,52,21,40
shaurya,13,9,38,360,0.737,0.789,1.214,0.833,28,30,34,25,10,8
tianyi,14,5,20,360,0.6,0.75,1.417,1.267,12,15,17,19,8,5
james,12,6,26,360,0.923,0.885,1.458,1.696,24,23,35,39,2,3
cameron,10,5,22,360,0.773,0.773,1.588,3.647,17,17,27,62,5,5
zeyu,12,10,22,360,0.909,0.909,0.65,0.65,20,20,13,13,2,2
mohammad,6,4,8,360,0.625,0.875,4.6,3.857,5,7,23,27,3,1
average performance,-,-,-,-,0.79,0.762,1.42,1.687,22.222,19.556,23.667,27.889,6.0,8.667
