,dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
0,wenkanw,0.5,0.1,31,1,38,0.969,1.226,0.44285714285714284
1,wenkanw,0.5,0.15,31,1,39,0.969,1.258,0.43661971830985913
2,wenkanw,0.5,0.2,31,1,40,0.969,1.29,0.4305555555555556
3,wenkanw,0.5,0.25,31,1,39,0.969,1.258,0.43661971830985913
4,wenkanw,0.5,0.3,31,1,37,0.969,1.194,0.4492753623188406
5,wenkanw,0.5,0.35,31,1,37,0.969,1.194,0.4492753623188406
6,wenkanw,0.5,0.4,31,1,34,0.969,1.097,0.4696969696969697
7,wenkanw,0.5,0.45,31,1,35,0.969,1.129,0.4626865671641791
8,wenkanw,0.55,0.1,31,1,35,0.969,1.129,0.4626865671641791
9,wenkanw,0.55,0.15,31,1,36,0.969,1.161,0.45588235294117646
10,wenkanw,0.55,0.2,31,1,36,0.969,1.161,0.45588235294117646
11,wenkanw,0.55,0.25,31,1,35,0.969,1.129,0.4626865671641791
12,wenkanw,0.55,0.3,31,1,34,0.969,1.097,0.4696969696969697
13,wenkanw,0.55,0.35,31,1,33,0.969,1.065,0.47692307692307695
14,wenkanw,0.55,0.4,31,1,31,0.969,1.0,0.49206349206349204
15,wenkanw,0.55,0.45,31,1,31,0.969,1.0,0.49206349206349204
16,wenkanw,0.6,0.1,31,1,33,0.969,1.065,0.47692307692307695
17,wenkanw,0.6,0.15,31,1,34,0.969,1.097,0.4696969696969697
18,wenkanw,0.6,0.2,31,1,35,0.969,1.129,0.4626865671641791
19,wenkanw,0.6,0.25,31,1,34,0.969,1.097,0.4696969696969697
20,wenkanw,0.6,0.3,31,1,33,0.969,1.065,0.47692307692307695
21,wenkanw,0.6,0.35,31,1,33,0.969,1.065,0.47692307692307695
22,wenkanw,0.6,0.4,31,1,30,0.969,0.968,0.5
23,wenkanw,0.6,0.45,31,1,29,0.969,0.935,0.5081967213114754
24,wenkanw,0.65,0.1,31,1,28,0.969,0.903,0.5166666666666667
25,wenkanw,0.65,0.15,31,1,29,0.969,0.935,0.5081967213114754
26,wenkanw,0.65,0.2,31,1,30,0.969,0.968,0.5
27,wenkanw,0.65,0.25,31,1,29,0.969,0.935,0.5081967213114754
28,wenkanw,0.65,0.3,31,1,29,0.969,0.935,0.5081967213114754
29,wenkanw,0.65,0.35,31,1,29,0.969,0.935,0.5081967213114754
30,wenkanw,0.65,0.4,31,1,31,0.969,1.0,0.49206349206349204
31,wenkanw,0.65,0.45,31,1,30,0.969,0.968,0.5
32,wenkanw,0.7,0.1,31,1,27,0.969,0.871,0.5254237288135594
33,wenkanw,0.7,0.15,31,1,28,0.969,0.903,0.5166666666666667
34,wenkanw,0.7,0.2,31,1,28,0.969,0.903,0.5166666666666667
35,wenkanw,0.7,0.25,31,1,27,0.969,0.871,0.5254237288135594
36,wenkanw,0.7,0.3,31,1,28,0.969,0.903,0.5166666666666667
37,wenkanw,0.7,0.35,31,1,28,0.969,0.903,0.5166666666666667
38,wenkanw,0.7,0.4,31,1,28,0.969,0.903,0.5166666666666667
39,wenkanw,0.7,0.45,31,1,27,0.969,0.871,0.5254237288135594
40,wenkanw,0.75,0.1,31,1,26,0.969,0.839,0.5344827586206896
41,wenkanw,0.75,0.15,31,1,26,0.969,0.839,0.5344827586206896
42,wenkanw,0.75,0.2,31,1,26,0.969,0.839,0.5344827586206896
43,wenkanw,0.75,0.25,31,1,25,0.969,0.806,0.543859649122807
44,wenkanw,0.75,0.3,31,1,25,0.969,0.806,0.543859649122807
45,wenkanw,0.75,0.35,31,1,25,0.969,0.806,0.543859649122807
46,wenkanw,0.75,0.4,31,1,24,0.969,0.774,0.5535714285714286
47,wenkanw,0.75,0.45,31,1,24,0.969,0.774,0.5535714285714286
48,wenkanw,0.8,0.1,31,1,19,0.969,0.613,0.6078431372549019
49,wenkanw,0.8,0.15,31,1,19,0.969,0.613,0.6078431372549019
50,wenkanw,0.8,0.2,31,1,19,0.969,0.613,0.6078431372549019
51,wenkanw,0.8,0.25,31,1,19,0.969,0.613,0.6078431372549019
52,wenkanw,0.8,0.3,31,1,19,0.969,0.613,0.6078431372549019
53,wenkanw,0.8,0.35,31,1,19,0.969,0.613,0.6078431372549019
54,wenkanw,0.8,0.4,31,1,19,0.969,0.613,0.6078431372549019
55,wenkanw,0.8,0.45,31,1,19,0.969,0.613,0.6078431372549019
56,wenkanw,0.85,0.1,31,1,15,0.969,0.484,0.6595744680851063
57,wenkanw,0.85,0.15,31,1,15,0.969,0.484,0.6595744680851063
58,wenkanw,0.85,0.2,31,1,15,0.969,0.484,0.6595744680851063
59,wenkanw,0.85,0.25,31,1,15,0.969,0.484,0.6595744680851063
60,wenkanw,0.85,0.3,31,1,15,0.969,0.484,0.6595744680851063
61,wenkanw,0.85,0.35,31,1,15,0.969,0.484,0.6595744680851063
62,wenkanw,0.85,0.4,31,1,15,0.969,0.484,0.6595744680851063
63,wenkanw,0.85,0.45,31,1,15,0.969,0.484,0.6595744680851063
64,adam,0.5,0.1,25,1,16,0.962,0.64,0.5952380952380952
65,adam,0.5,0.15,25,1,15,0.962,0.6,0.6097560975609756
66,adam,0.5,0.2,25,1,14,0.962,0.56,0.625
67,adam,0.5,0.25,25,1,14,0.962,0.56,0.625
68,adam,0.5,0.3,25,1,14,0.962,0.56,0.625
69,adam,0.5,0.35,25,1,14,0.962,0.56,0.625
