TPR,FP/TP,TP,FP,FN,dataset,Ts,Te
0.9375,1.7666666666666666,30,53,2,wenkanw,0.5,0.1
0.9375,1.8666666666666667,30,56,2,wenkanw,0.5,0.15
0.96875,1.7741935483870968,31,55,1,wenkanw,0.5,0.2
0.96875,1.7741935483870968,31,55,1,wenkanw,0.5,0.25
0.96875,1.6451612903225807,31,51,1,wenkanw,0.5,0.3
0.96875,1.5161290322580645,31,47,1,wenkanw,0.5,0.35
0.96875,1.4193548387096775,31,44,1,wenkanw,0.5,0.4
0.96875,1.3870967741935485,31,43,1,wenkanw,0.5,0.45
0.9375,1.4333333333333333,30,43,2,wenkanw,0.55,0.1
0.9375,1.5,30,45,2,wenkanw,0.55,0.15
0.96875,1.4838709677419355,31,46,1,wenkanw,0.55,0.2
0.96875,1.4516129032258065,31,45,1,wenkanw,0.55,0.25
0.96875,1.4193548387096775,31,44,1,wenkanw,0.55,0.3
0.96875,1.3870967741935485,31,43,1,wenkanw,0.55,0.35
0.96875,1.2258064516129032,31,38,1,wenkanw,0.55,0.4
0.96875,1.1935483870967742,31,37,1,wenkanw,0.55,0.45
0.9375,1.2666666666666666,30,38,2,wenkanw,0.6,0.1
0.9375,1.3333333333333333,30,40,2,wenkanw,0.6,0.15
0.96875,1.2903225806451613,31,40,1,wenkanw,0.6,0.2
0.96875,1.2903225806451613,31,40,1,wenkanw,0.6,0.25
0.96875,1.2903225806451613,31,40,1,wenkanw,0.6,0.3
0.96875,1.2258064516129032,31,38,1,wenkanw,0.6,0.35
0.96875,1.096774193548387,31,34,1,wenkanw,0.6,0.4
0.96875,0.967741935483871,31,30,1,wenkanw,0.6,0.45
0.9375,0.8666666666666667,30,26,2,wenkanw,0.65,0.1
0.9375,1.0,30,30,2,wenkanw,0.65,0.15
0.96875,0.967741935483871,31,30,1,wenkanw,0.65,0.2
0.96875,0.9354838709677419,31,29,1,wenkanw,0.65,0.25
0.96875,0.9354838709677419,31,29,1,wenkanw,0.65,0.3
0.96875,0.8709677419354839,31,27,1,wenkanw,0.65,0.35
0.96875,0.8387096774193549,31,26,1,wenkanw,0.65,0.4
0.96875,0.8064516129032258,31,25,1,wenkanw,0.65,0.45
0.9375,0.7333333333333333,30,22,2,wenkanw,0.7,0.1
0.9375,0.8,30,24,2,wenkanw,0.7,0.15
0.96875,0.7419354838709677,31,23,1,wenkanw,0.7,0.2
0.96875,0.7741935483870968,31,24,1,wenkanw,0.7,0.25
0.96875,0.7741935483870968,31,24,1,wenkanw,0.7,0.3
0.96875,0.7741935483870968,31,24,1,wenkanw,0.7,0.35
0.96875,0.8064516129032258,31,25,1,wenkanw,0.7,0.4
0.96875,0.7741935483870968,31,24,1,wenkanw,0.7,0.45
0.9375,0.5333333333333333,30,16,2,wenkanw,0.75,0.1
0.9375,0.5666666666666667,30,17,2,wenkanw,0.75,0.15
0.96875,0.5806451612903226,31,18,1,wenkanw,0.75,0.2
0.96875,0.6129032258064516,31,19,1,wenkanw,0.75,0.25
0.96875,0.6129032258064516,31,19,1,wenkanw,0.75,0.3
0.96875,0.6129032258064516,31,19,1,wenkanw,0.75,0.35
0.96875,0.6129032258064516,31,19,1,wenkanw,0.75,0.4
0.96875,0.6129032258064516,31,19,1,wenkanw,0.75,0.45
0.9375,0.4666666666666667,30,14,2,wenkanw,0.8,0.1
0.9375,0.5,30,15,2,wenkanw,0.8,0.15
0.96875,0.5161290322580645,31,16,1,wenkanw,0.8,0.2
0.96875,0.5161290322580645,31,16,1,wenkanw,0.8,0.25
0.96875,0.5161290322580645,31,16,1,wenkanw,0.8,0.3
0.96875,0.5161290322580645,31,16,1,wenkanw,0.8,0.35
0.96875,0.5161290322580645,31,16,1,wenkanw,0.8,0.4
0.96875,0.5161290322580645,31,16,1,wenkanw,0.8,0.45
0.9375,0.3,30,9,2,wenkanw,0.85,0.1
0.9375,0.3,30,9,2,wenkanw,0.85,0.15
0.96875,0.2903225806451613,31,9,1,wenkanw,0.85,0.2
0.96875,0.2903225806451613,31,9,1,wenkanw,0.85,0.25
0.96875,0.2903225806451613,31,9,1,wenkanw,0.85,0.3
0.96875,0.2903225806451613,31,9,1,wenkanw,0.85,0.35
0.96875,0.25806451612903225,31,8,1,wenkanw,0.85,0.4
0.96875,0.25806451612903225,31,8,1,wenkanw,0.85,0.45
0.9230769230769231,1.3333333333333333,24,32,2,adam,0.5,0.1
0.9230769230769231,1.375,24,33,2,adam,0.5,0.15
0.9230769230769231,1.4583333333333333,24,35,2,adam,0.5,0.2
0.9230769230769231,1.4166666666666667,24,34,2,adam,0.5,0.25
0.9230769230769231,1.4583333333333333,24,35,2,adam,0.5,0.3
0.9230769230769231,1.4166666666666667,24,34,2,adam,0.5,0.35
0.9230769230769231,1.4166666666666667,24,34,2,adam,0.5,0.4
0.9230769230769231,1.3333333333333333,24,32,2,adam,0.5,0.45
0.9230769230769231,1.125,24,27,2,adam,0.55,0.1
0.9230769230769231,1.2083333333333333,24,29,2,adam,0.55,0.15
0.9230769230769231,1.2083333333333333,24,29,2,adam,0.55,0.2
0.9230769230769231,1.2083333333333333,24,29,2,adam,0.55,0.25
0.9230769230769231,1.2083333333333333,24,29,2,adam,0.55,0.3
0.9230769230769231,1.25,24,30,2,adam,0.55,0.35
0.9230769230769231,1.2916666666666667,24,31,2,adam,0.55,0.4
0.9230769230769231,1.25,24,30,2,adam,0.55,0.45
0.9230769230769231,0.875,24,21,2,adam,0.6,0.1
0.9230769230769231,0.9166666666666666,24,22,2,adam,0.6,0.15
0.9230769230769231,0.9166666666666666,24,22,2,adam,0.6,0.2
0.9230769230769231,0.9583333333333334,24,23,2,adam,0.6,0.25
0.9230769230769231,0.9583333333333334,24,23,2,adam,0.6,0.3
0.9230769230769231,1.0,24,24,2,adam,0.6,0.35
0.9230769230769231,1.0416666666666667,24,25,2,adam,0.6,0.4
0.9230769230769231,1.0416666666666667,24,25,2,adam,0.6,0.45
0.9230769230769231,0.6666666666666666,24,16,2,adam,0.65,0.1
0.9230769230769231,0.7083333333333334,24,17,2,adam,0.65,0.15
0.9230769230769231,0.7083333333333334,24,17,2,adam,0.65,0.2
0.9230769230769231,0.75,24,18,2,adam,0.65,0.25
0.9230769230769231,0.7916666666666666,24,19,2,adam,0.65,0.3
0.9230769230769231,0.7916666666666666,24,19,2,adam,0.65,0.35
0.9230769230769231,0.8333333333333334,24,20,2,adam,0.65,0.4
0.9230769230769231,0.7916666666666666,24,19,2,adam,0.65,0.45
0.9230769230769231,0.4583333333333333,24,11,2,adam,0.7,0.1
0.9230769230769231,0.5,24,12,2,adam,0.7,0.15
0.9230769230769231,0.5,24,12,2,adam,0.7,0.2
0.9230769230769231,0.5,24,12,2,adam,0.7,0.25
0.9230769230769231,0.5416666666666666,24,13,2,adam,0.7,0.3
0.9230769230769231,0.5833333333333334,24,14,2,adam,0.7,0.35
0.9230769230769231,0.5833333333333334,24,14,2,adam,0.7,0.4
0.9230769230769231,0.625,24,15,2,adam,0.7,0.45
0.8846153846153846,0.34782608695652173,23,8,3,adam,0.75,0.1
0.8846153846153846,0.391304347826087,23,9,3,adam,0.75,0.15
0.8846153846153846,0.391304347826087,23,9,3,adam,0.75,0.2
0.8846153846153846,0.391304347826087,23,9,3,adam,0.75,0.25
0.8846153846153846,0.43478260869565216,23,10,3,adam,0.75,0.3
0.8846153846153846,0.4782608695652174,23,11,3,adam,0.75,0.35
0.8846153846153846,0.5217391304347826,23,12,3,adam,0.75,0.4
0.8846153846153846,0.5217391304347826,23,12,3,adam,0.75,0.45
0.8846153846153846,0.17391304347826086,23,4,3,adam,0.8,0.1
0.8846153846153846,0.17391304347826086,23,4,3,adam,0.8,0.15
0.8846153846153846,0.17391304347826086,23,4,3,adam,0.8,0.2
0.8846153846153846,0.21739130434782608,23,5,3,adam,0.8,0.25
0.8846153846153846,0.21739130434782608,23,5,3,adam,0.8,0.3
0.8846153846153846,0.21739130434782608,23,5,3,adam,0.8,0.35
0.8846153846153846,0.2608695652173913,23,6,3,adam,0.8,0.4
0.8846153846153846,0.2608695652173913,23,6,3,adam,0.8,0.45
0.8846153846153846,0.13043478260869565,23,3,3,adam,0.85,0.1
0.8846153846153846,0.13043478260869565,23,3,3,adam,0.85,0.15
0.8846153846153846,0.13043478260869565,23,3,3,adam,0.85,0.2
0.8846153846153846,0.13043478260869565,23,3,3,adam,0.85,0.25
0.8846153846153846,0.13043478260869565,23,3,3,adam,0.85,0.3
0.8846153846153846,0.13043478260869565,23,3,3,adam,0.85,0.35
0.8846153846153846,0.17391304347826086,23,4,3,adam,0.85,0.4
0.8846153846153846,0.17391304347826086,23,4,3,adam,0.85,0.45
0.8360655737704918,1.0392156862745099,51,53,10,lawler,0.5,0.1
0.8360655737704918,1.4509803921568627,51,74,10,lawler,0.5,0.15
0.8524590163934426,1.5384615384615385,52,80,9,lawler,0.5,0.2
0.8688524590163934,1.5849056603773586,53,84,8,lawler,0.5,0.25
0.8688524590163934,1.6415094339622642,53,87,8,lawler,0.5,0.3
0.8524590163934426,1.75,52,91,9,lawler,0.5,0.35
0.8524590163934426,1.8076923076923077,52,94,9,lawler,0.5,0.4
0.8688524590163934,1.7924528301886793,53,95,8,lawler,0.5,0.45
0.8360655737704918,0.9607843137254902,51,49,10,lawler,0.55,0.1
0.8360655737704918,1.2745098039215685,51,65,10,lawler,0.55,0.15
0.8360655737704918,1.3529411764705883,51,69,10,lawler,0.55,0.2
0.8688524590163934,1.3962264150943395,53,74,8,lawler,0.55,0.25
0.8688524590163934,1.5660377358490567,53,83,8,lawler,0.55,0.3
0.8524590163934426,1.7115384615384615,52,89,9,lawler,0.55,0.35
0.8524590163934426,1.75,52,91,9,lawler,0.55,0.4
0.8688524590163934,1.7547169811320755,53,93,8,lawler,0.55,0.45
0.8032786885245902,1.1428571428571428,49,56,12,lawler,0.6,0.1
0.819672131147541,1.28,50,64,11,lawler,0.6,0.15
0.819672131147541,1.38,50,69,11,lawler,0.6,0.2
0.8360655737704918,1.4313725490196079,51,73,10,lawler,0.6,0.25
0.8360655737704918,1.5490196078431373,51,79,10,lawler,0.6,0.3
0.8360655737704918,1.607843137254902,51,82,10,lawler,0.6,0.35
0.8360655737704918,1.607843137254902,51,82,10,lawler,0.6,0.4
0.8360655737704918,1.6470588235294117,51,84,10,lawler,0.6,0.45
0.7704918032786885,1.148936170212766,47,54,14,lawler,0.65,0.1
0.7868852459016393,1.2916666666666667,48,62,13,lawler,0.65,0.15
0.7868852459016393,1.3958333333333333,48,67,13,lawler,0.65,0.2
0.8032786885245902,1.4081632653061225,49,69,12,lawler,0.65,0.25
0.8032786885245902,1.5510204081632653,49,76,12,lawler,0.65,0.3
0.7868852459016393,1.6458333333333333,48,79,13,lawler,0.65,0.35
0.7868852459016393,1.6875,48,81,13,lawler,0.65,0.4
0.8032786885245902,1.6938775510204083,49,83,12,lawler,0.65,0.45
0.7377049180327869,1.1111111111111112,45,50,16,lawler,0.7,0.1
0.7540983606557377,1.2608695652173914,46,58,15,lawler,0.7,0.15
0.7540983606557377,1.391304347826087,46,64,15,lawler,0.7,0.2
0.7704918032786885,1.4680851063829787,47,69,14,lawler,0.7,0.25
0.7704918032786885,1.5106382978723405,47,71,14,lawler,0.7,0.3
0.7540983606557377,1.6304347826086956,46,75,15,lawler,0.7,0.35
0.7704918032786885,1.6595744680851063,47,78,14,lawler,0.7,0.4
0.7704918032786885,1.702127659574468,47,80,14,lawler,0.7,0.45
0.6885245901639344,0.8809523809523809,42,37,19,lawler,0.75,0.1
0.6721311475409836,1.146341463414634,41,47,20,lawler,0.75,0.15
0.6557377049180327,1.3,40,52,21,lawler,0.75,0.2
0.6721311475409836,1.3658536585365855,41,56,20,lawler,0.75,0.25
0.6721311475409836,1.3658536585365855,41,56,20,lawler,0.75,0.3
0.639344262295082,1.5384615384615385,39,60,22,lawler,0.75,0.35
0.6557377049180327,1.6,40,64,21,lawler,0.75,0.4
0.6721311475409836,1.6097560975609757,41,66,20,lawler,0.75,0.45
0.47540983606557374,0.6551724137931034,29,19,32,lawler,0.8,0.1
0.45901639344262296,0.8571428571428571,28,24,33,lawler,0.8,0.15
0.4426229508196721,0.9629629629629629,27,26,34,lawler,0.8,0.2
0.4426229508196721,0.9629629629629629,27,26,34,lawler,0.8,0.25
0.4426229508196721,0.9629629629629629,27,26,34,lawler,0.8,0.3
0.4426229508196721,1.0,27,27,34,lawler,0.8,0.35
0.4426229508196721,1.037037037037037,27,28,34,lawler,0.8,0.4
0.4426229508196721,1.1111111111111112,27,30,34,lawler,0.8,0.45
0.14754098360655737,0.5555555555555556,9,5,52,lawler,0.85,0.1
0.13114754098360656,1.0,8,8,53,lawler,0.85,0.15
0.13114754098360656,1.0,8,8,53,lawler,0.85,0.2
0.13114754098360656,1.0,8,8,53,lawler,0.85,0.25
0.13114754098360656,1.0,8,8,53,lawler,0.85,0.3
0.13114754098360656,1.0,8,8,53,lawler,0.85,0.35
0.11475409836065574,1.2857142857142858,7,9,54,lawler,0.85,0.4
0.11475409836065574,1.2857142857142858,7,9,54,lawler,0.85,0.45
0.8823529411764706,2.466666666666667,15,37,2,shaurya,0.5,0.1
0.8823529411764706,2.466666666666667,15,37,2,shaurya,0.5,0.15
0.8823529411764706,2.533333333333333,15,38,2,shaurya,0.5,0.2
0.8823529411764706,2.6,15,39,2,shaurya,0.5,0.25
0.8823529411764706,2.6,15,39,2,shaurya,0.5,0.3
0.8823529411764706,2.533333333333333,15,38,2,shaurya,0.5,0.35
0.8823529411764706,2.466666666666667,15,37,2,shaurya,0.5,0.4
0.8823529411764706,2.466666666666667,15,37,2,shaurya,0.5,0.45
0.8823529411764706,2.2,15,33,2,shaurya,0.55,0.1
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.55,0.15
0.8823529411764706,2.3333333333333335,15,35,2,shaurya,0.55,0.2
0.8823529411764706,2.4,15,36,2,shaurya,0.55,0.25
0.8823529411764706,2.4,15,36,2,shaurya,0.55,0.3
0.8823529411764706,2.4,15,36,2,shaurya,0.55,0.35
0.8823529411764706,2.3333333333333335,15,35,2,shaurya,0.55,0.4
0.8823529411764706,2.3333333333333335,15,35,2,shaurya,0.55,0.45
0.8823529411764706,2.1333333333333333,15,32,2,shaurya,0.6,0.1
0.8823529411764706,2.2,15,33,2,shaurya,0.6,0.15
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.6,0.2
0.8823529411764706,2.3333333333333335,15,35,2,shaurya,0.6,0.25
0.8823529411764706,2.3333333333333335,15,35,2,shaurya,0.6,0.3
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.6,0.35
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.6,0.4
0.8823529411764706,2.2,15,33,2,shaurya,0.6,0.45
0.8823529411764706,2.0,15,30,2,shaurya,0.65,0.1
0.8823529411764706,2.066666666666667,15,31,2,shaurya,0.65,0.15
0.8823529411764706,2.2,15,33,2,shaurya,0.65,0.2
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.65,0.25
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.65,0.3
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.65,0.35
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.65,0.4
0.8823529411764706,2.2666666666666666,15,34,2,shaurya,0.65,0.45
0.8235294117647058,2.2142857142857144,14,31,3,shaurya,0.7,0.1
0.8235294117647058,2.2857142857142856,14,32,3,shaurya,0.7,0.15
0.8235294117647058,2.357142857142857,14,33,3,shaurya,0.7,0.2
0.8235294117647058,2.357142857142857,14,33,3,shaurya,0.7,0.25
0.8235294117647058,2.357142857142857,14,33,3,shaurya,0.7,0.3
0.8235294117647058,2.4285714285714284,14,34,3,shaurya,0.7,0.35
0.8235294117647058,2.4285714285714284,14,34,3,shaurya,0.7,0.4
0.8235294117647058,2.5,14,35,3,shaurya,0.7,0.45
0.8235294117647058,1.8571428571428572,14,26,3,shaurya,0.75,0.1
0.8235294117647058,1.9285714285714286,14,27,3,shaurya,0.75,0.15
0.8235294117647058,2.0,14,28,3,shaurya,0.75,0.2
0.8235294117647058,2.142857142857143,14,30,3,shaurya,0.75,0.25
0.8235294117647058,2.142857142857143,14,30,3,shaurya,0.75,0.3
0.8235294117647058,2.2142857142857144,14,31,3,shaurya,0.75,0.35
0.8235294117647058,2.2857142857142856,14,32,3,shaurya,0.75,0.4
0.8235294117647058,2.5,14,35,3,shaurya,0.75,0.45
0.8235294117647058,1.8571428571428572,14,26,3,shaurya,0.8,0.1
0.8235294117647058,1.9285714285714286,14,27,3,shaurya,0.8,0.15
0.8235294117647058,2.0,14,28,3,shaurya,0.8,0.2
0.8235294117647058,2.142857142857143,14,30,3,shaurya,0.8,0.25
0.8235294117647058,2.142857142857143,14,30,3,shaurya,0.8,0.3
0.8235294117647058,2.2142857142857144,14,31,3,shaurya,0.8,0.35
0.8235294117647058,2.2142857142857144,14,31,3,shaurya,0.8,0.4
0.8235294117647058,2.357142857142857,14,33,3,shaurya,0.8,0.45
0.8235294117647058,1.4285714285714286,14,20,3,shaurya,0.85,0.1
0.8235294117647058,1.5714285714285714,14,22,3,shaurya,0.85,0.15
0.8235294117647058,1.6428571428571428,14,23,3,shaurya,0.85,0.2
0.8235294117647058,1.6428571428571428,14,23,3,shaurya,0.85,0.25
0.8235294117647058,1.7857142857142858,14,25,3,shaurya,0.85,0.3
0.8235294117647058,1.7857142857142858,14,25,3,shaurya,0.85,0.35
0.8235294117647058,1.7857142857142858,14,25,3,shaurya,0.85,0.4
0.8235294117647058,1.7857142857142858,14,25,3,shaurya,0.85,0.45
